ID,TRIAL_INDEX,con,pic_percent,TransformedDwellPic,Q,acc,List
P107,55,1,0.20636975660279647,0.4715631445894777,Q79,1,List1
P107,56,1,0,0,Q80,1,List1
P107,57,1,0.04984590647192818,0.22515963265656996,Q81,0,List1
P107,57,1,0.04984590647192818,0.22515963265656996,Q82,1,List1
P107,58,1,0.09366450683945285,0.3110375610250891,Q83,0,List1
P107,59,1,0,0,Q84,0,List1
P107,60,1,0.0341589172267747,0.18589003845302055,Q85,0,List1
P107,61,1,0.08568274456521739,0.29706617643619015,Q86,0,List1
P107,62,1,0.2552246413747907,0.5296109479077231,Q88,1,List1
P107,62,1,0.2552246413747907,0.5296109479077231,Q87,1,List1
P107,63,1,0.21975923619759236,0.48791460162746125,Q90,0,List1
P107,63,1,0.21975923619759236,0.48791460162746125,Q89,1,List1
P108,1,0,0.21319989180416554,0.4799510291162555,Q1,0,List2
P108,1,0,0.21319989180416554,0.4799510291162555,Q2,1,List2
P108,10,0,0.09084210526315789,0.3061608448804829,Q16,0,List2
P108,11,0,0.13632490769667707,0.3781717618500067,Q17,0,List2
P108,12,0,0.144372574385511,0.3897572821104768,Q18,1,List2
P108,13,0,0.15719499478623566,0.407677498096657,Q19,1,List2
P108,13,0,0.15719499478623566,0.407677498096657,Q20,1,List2
P108,14,0,0.19231041563407208,0.4539647065657975,Q22,0,List2
P108,14,0,0.19231041563407208,0.4539647065657975,Q21,1,List2
P108,15,0,0.16237141909080854,0.4147415125825411,Q23,0,List2
P108,16,0,0.18371212121212122,0.4429609517242478,Q24,0,List2
P108,17,0,0.3421769683063244,0.6248294390984548,Q25,0,List2
P108,18,0,0.2805656147611657,0.5582284946962417,Q27,0,List2
P108,18,0,0.2805656147611657,0.5582284946962417,Q26,0,List2
P108,19,0,0.4633266533066132,0.7486918546817316,Q28,1,List2
P108,2,0,0.16832302997104626,0.422752187560539,Q3,1,List2
P108,2,0,0.16832302997104626,0.422752187560539,Q4,1,List2
P108,20,0,0.2000443557329785,0.4637030513617513,Q29,0,List2
P108,21,0,0.31557198782079166,0.5965091839802371,Q30,0,List2
P108,22,1,0.05154066808550014,0.22902254446652665,Q32,0,List2
P108,22,1,0.05154066808550014,0.22902254446652665,Q31,0,List2
P108,23,1,0.15496317809355875,0.40460276217444097,Q34,1,List2
P108,23,1,0.15496317809355875,0.40460276217444097,Q33,1,List2
P108,24,1,0.12747813411078718,0.3650979623738295,Q35,0,List2
P108,25,1,0.30120117088927023,0.5809495779668894,Q36,0,List2
P108,26,1,0.1250965250965251,0.36151303199808893,Q38,1,List2
P108,26,1,0.1250965250965251,0.36151303199808893,Q37,0,List2
P108,27,1,0.23840454683852633,0.5101027063962927,Q39,1,List2
P108,29,1,0.23236386138613863,0.5029831343836786,Q41,1,List2
P108,3,0,0.07344632768361582,0.27444196680530913,Q6,0,List2
P108,3,0,0.07344632768361582,0.27444196680530913,Q5,0,List2
P108,30,1,0.15832520447212425,0.40922778890229916,Q42,0,List2
P108,31,1,0.3564208591775787,0.639768739373241,Q43,0,List2
P108,32,1,0.26225968236277514,0.5376430146245774,Q45,1,List2
P108,32,1,0.26225968236277514,0.5376430146245774,Q44,0,List2
P108,33,1,0.40434160305343514,0.6891463901075042,Q46,0,List2
P108,33,1,0.40434160305343514,0.6891463901075042,Q47,0,List2
P108,34,1,0.1600881219019644,0.4116370187723056,Q48,1,List2
P108,35,1,0.29530614759147467,0.5745067383717992,Q50,1,List2
P108,35,1,0.29530614759147467,0.5745067383717992,Q49,1,List2
P108,36,1,0.27168819293633556,0.5482999914019974,Q51,0,List2
P108,37,1,0.3937151437151437,0.6782961506118638,Q52,0,List2
P108,38,1,0.2421655009537651,0.5145040198578639,Q53,1,List2
P108,39,1,0.3224142378127418,0.6038493891831824,Q54,1,List2
P108,4,0,0.06992644773645498,0.26761915510064727,Q7,1,List2
P108,40,1,0.18204670775218942,0.4408068430901586,Q55,1,List2
P108,41,1,0.16428503832686667,0.41732983896800896,Q56,0,List2
P108,41,1,0.16428503832686667,0.41732983896800896,Q57,0,List2
P108,41,1,0.16428503832686667,0.41732983896800896,Q58,0,List2
P108,42,1,0.20440456769983686,0.4691308790705237,Q60,0,List2
P108,42,1,0.20440456769983686,0.4691308790705237,Q59,0,List2
P108,5,0,0.15496688741721854,0.404607887371139,Q8,0,List2
P108,5,0,0.15496688741721854,0.404607887371139,Q9,0,List2
P108,6,0,0.2341880341880342,0.5051397969186654,Q10,0,List2
P108,7,0,0.19025619487610249,0.4513532561406747,Q11,0,List2
P108,8,0,0.37416254005243227,0.6581929172362844,Q12,1,List2
P108,8,0,0.37416254005243227,0.6581929172362844,Q13,0,List2
P108,9,0,0.3167521748828909,0.59777826557192415,Q14,0,List2
P108,9,0,0.3167521748828909,0.59777826557192415,Q15,0,List2
P109,1,1,0.08369006849315068,0.29348750343386953,Q1,0,List3
P109,1,1,0.08369006849315068,0.29348750343386953,Q2,0,List3
P109,10,1,0.20061633281972266,0.4644175806875702,Q16,1,List3
P109,11,1,0.14417531718569782,0.3894765826622243,Q17,1,List3
P109,12,1,0.28921640157595213,0.5678117112189992,Q18,1,List3
P109,13,1,0.24381782600960683,0.5164303025950897,Q19,1,List3
P109,13,1,0.24381782600960683,0.5164303025950897,Q20,1,List3
P109,14,1,0.12659669274185564,0.36377453412409316,Q21,1,List3
P109,14,1,0.12659669274185564,0.36377453412409316,Q22,0,List3
P109,15,1,0.12779289306620498,0.36556960540534245,Q23,0,List3
P109,16,1,0.20479529946929492,0.4696151665231256,Q24,0,List3
P109,17,1,0.2617296474765407,0.5370403183118964,Q25,1,List3
P109,18,1,0.18917672380659542,0.4499766478122564,Q27,1,List3
P109,18,1,0.18917672380659542,0.4499766478122564,Q26,1,List3
P109,19,1,0.24998006538553544,0.5235757567823179,Q28,1,List3
P109,2,1,0.0644122383252818,0.25660239457215606,Q3,1,List3
P109,2,1,0.0644122383252818,0.25660239457215606,Q4,1,List3
P109,20,1,0.14963131026659104,0.39718288458934775,Q29,0,List3
P109,21,1,0.11134946705101562,0.3402159536805274,Q30,0,List3
P109,3,1,0.24100393105533716,0.5131471838309906,Q6,1,List3
P109,3,1,0.24100393105533716,0.5131471838309906,Q5,1,List3
P109,4,1,0.18447872837774662,0.44394996451592234,Q7,1,List3
P109,43,0,0.07002565896897597,0.26781360561108913,Q61,1,List3
P109,44,0,0.18313515758865984,0.44221554637839167,Q63,1,List3
P109,44,0,0.18313515758865984,0.44221554637839167,Q62,1,List3
P109,45,0,0.13007757110684795,0.3689782986413935,Q64,1,List3
P109,46,0,0.11372007366482505,0.34396668598242897,Q65,1,List3
P109,47,0,0.08067794583607342,0.2880036166374676,Q66,0,List3
P109,48,0,0.11987906273620559,0.35355548602627745,Q67,0,List3
P109,48,0,0.11987906273620559,0.35355548602627745,Q68,1,List3
P109,49,0,0.06600375234521576,0.2598255429762388,Q69,0,List3
P109,5,1,0.22416277595250447,0.49321291525687344,Q8,0,List3
P109,5,1,0.22416277595250447,0.49321291525687344,Q9,0,List3
P109,50,0,0.15925834970530453,0.41050438617839,Q70,0,List3
